ID,Catégorie,Scénario,Prérequis,Résultat attendu
1,Session,"Déconnexion voyageur","Compte connecté sur 4200","Déconnexion depuis le header : plus d’accès aux routes protégées sans nouveau login; retour accueil ou page publique cohérente"
2,Session,"Déconnexion Mobili Business","Compte connecté sur 4201","Logout : token / état local nettoyé; nouvelle navigation vers /partenaire ou /gare redirige vers login"
3,Session,"returnUrl après login (voyageur)","Lien ou favori avec query returnUrl légitime (ex. /my-account/bookings)","Après login, redirection vers le chemin demandé sans boucle ni open redirect (pas de URL absolue externe non whitelistée)"
4,Erreurs API,"Erreurs réseau / API indispo","Couper l’API ou URL API fausse (test court)","Formulaires/auth : message utilisateur lisible — pas de page blanche ni erreur brute non interceptée"
5,Inscription société,"Duplication login ou email dirigeant","Tentative register-partner avec login/email déjà connus du backend","HTTP 4xx cohérent; message métier affiché côté UI (pas uniquement erreur générique)"
6,Gare,"Code partenaire invalide","4200 /auth/register-gare","Soumission avec code erroné : message clair « code inconnu » / équivalent sans 500 masquée"
7,Covoiturage,"Profil chauffeur KYC en attente / rejeté","Compte test état métier contrôlé","Comportement UI aligné (connexion refusée, message explicite ou accès limité selon règle produit)"
8,Réservation,"Recherche + fiche trajet (voyageur)","4200; trajets en base","Parcours lecture résultats → détail trajet sans erreur console bloquante"
9,Réservation,"Réservation payante (happy path)","Compte + moyen de paiement test / sandbox","Confirmation ou page succès cohérente; statut réservation cohérent côté « mes réservations »"
10,Partenaire,"Liste des trajets / réservations (smoke)","Compte partenaire sur 4201","Chargement des écrans trips / bookings sans erreur; données ou liste vide explicite"
11,Partenaire,"Création ou édition d’un trajet (smoke)","Compte partenaire + droits","Création / enregistrement minimal accepté ou validation affichée si champs manquants"
12,Admin,"Accès admin (voyageur)","Compte ROLE_ADMIN","/admin/dashboard accessible; accès refusé pour compte non admin"
13,Notifications,"Centre de notifications","Compte avec au moins une notif ou liste vide","Ouverture inbox / cloche : pas d’erreur 401 en boucle; compteur cohérent"
14,Navigation,"Deep link direct (Business)","Onglet privé URL complète ex. 4201/partenaire/settings","Redirection login si non connecté avec returnUrl ou équivalent; pas d’écran cassé"
15,Robustesse,"Rechargement F5 sur espace authentifié","Connecté sur shell partenaire/gare/covoiturage","Après F5 : session restaurée (refresh cookie + localStorage) ou re-login demandé de façon claire — pas d’état incohérent permanent"
