ID,Catégorie,Scénario,Prérequis,Résultat attendu
1,Voyageur,"Inscription voyageur — pas d’hub à 4 cartes","API up; ng serve 4200","Ouvrir http://localhost:4200/auth/inscription — affichage du formulaire « Créer un compte » uniquement; soumission valide — compte créé et flux cohérent (redirection / message)"
2,Voyageur,"Login voyageur","4200 + compte voyageur","http://localhost:4200/auth/login — connexion OK; accès à l’espace perso (ex. /my-account/profile)"
3,Business,"Portail Mobili Business","ng serve 4201","http://localhost:4201/auth/portail — tuiles Connexion / Inscription; liens vers appli voyageurs et inscription gare fonctionnels"
4,Business,"Hub inscription professionnelle","4201","http://localhost:4201/auth/inscription-business — cartes société + covoiturage; lien inscription gare ouvre 4200/auth/register-gare"
5,Business,"Inscription société de transport (register-company)","4201 + API","http://localhost:4201/auth/register-partner — formulaire dirigeant + société (+ logo optionnel); succès — session active; arrivée /partenaire/dashboard utilisable"
6,Redirection voyageur→Business,"Chemin partenaire depuis 4200","4200 + 4201","Sur 4200, naviguer vers /partenaire/... — redirection vers origin Business (même chemin); session 4200 non partagée → reconnexion possible sur 4201"
7,Redirection voyageur→Business,"Chemin gare shell depuis 4200","4200 + 4201","Sur 4200, /gare/... — redirection vers 4201 même chemin"
8,Redirection voyageur→Business,"Covoiturage depuis 4200","4200 + 4201","http://localhost:4200/covoiturage/accueil — redirection navigateur vers http://localhost:4201/covoiturage/accueil (chemins conservés)"
9,Covoiturage solo,"Accès espace covoiturage sur Business","4201; compte chauffeur covoiturage (profil solo)","/covoiturage/accueil sur 4201 — shell affiché; navigation publier / piloter / notifications sans boucle d’erreur"
10,Voyageur,"Inscription responsable gare (code)","4200 + API; code partenaire valide","http://localhost:4200/auth/register-gare — parcours code + finalisation; comportement actif / attente selon règle métier"
11,Auth cross-app,"Login chauffeur depuis appli voyageurs","4200 + Business configuré (travelerWebBase / businessWebBase)","Login compte chauffeur solo sur 4200 — après succès redirection vers 4201…/covoiturage/accueil (URL absolue)"
12,Business,"Login par rôle sur Business","4201 + jeux de comptes","Partenaire → /partenaire/dashboard; Gare → /gare/accueil; Admin → redirection admin sur site voyageur si prévu"
13,API,"Régression register-company","API + client HTTP ou via UI 5","POST /v1/auth/register-company (multipart) — 201; corps type AuthResponse (token, userId, login); cookie refresh si applicable"
14,Sécurité,"Accès protégé sans session","API","Appels ressources protégées sans JWT — 401; avec token valide — 200 sur une ressource simple"
15,Médias,"Affichage avatar / logo après upload","Inscription avec fichiers","Images visibles (URLs basées sur apiUrl / getUploadBaseUrl); pas d’URL cassée type mauvaise origine pour /uploads"
